exercise,file,label,label_source,window_mean,window_std,window_min,window_max,scaled_mean,scaled_std,scaled_min,scaled_max,prob
m07,example_047.json,1,labels_manifest,31.819982528686523,61.18444061279297,-9.56976318359375,179.65496826171875,27819.908203125,85247.03125,-11.827736854553223,384326.96875,1.0
m07,example_048.json,1,labels_manifest,32.08388137817383,61.542049407958984,-7.6942291259765625,178.56326293945312,28975.228515625,88978.5625,-12.015378952026367,404737.15625,1.0
m07,example_049.json,1,labels_manifest,32.48849868774414,62.65422058105469,-9.772186279296875,179.4546356201172,32545.3046875,98175.1484375,-11.824562072753906,393961.3125,1.0
m07,example_050.json,1,labels_manifest,31.695833206176758,60.9384651184082,-8.317146301269531,179.58860778808594,27279.6875,84132.265625,-11.810003280639648,389211.53125,1.0
m07,example_051.json,0,labels_manifest,31.882387161254883,62.38230895996094,-3.0440216064453125,177.98785400390625,30266.58203125,91482.828125,-10.941045761108398,374221.21875,1.0
m07,example_052.json,0,labels_manifest,31.88812828063965,62.4571418762207,-3.1953048706054688,179.3807830810547,30085.017578125,91002.4140625,-10.463621139526367,358799.875,1.0
m07,example_053.json,0,labels_manifest,32.293704986572266,62.85908889770508,-3.15557861328125,177.73939514160156,31732.7578125,95508.2734375,-11.042048454284668,362640.65625,1.0
m07,example_054.json,0,labels_manifest,32.19148254394531,62.73570251464844,-4.775764465332031,179.4005889892578,31076.80078125,93736.9296875,-10.737752914428711,374289.6875,1.0
m07,example_055.json,0,labels_manifest,32.09572219848633,62.73046875,-4.564781188964844,179.09286499023438,31176.80859375,93996.640625,-10.317484855651855,367107.40625,1.0
m07,example_056.json,0,labels_manifest,31.569488525390625,61.70047378540039,-4.342437744140625,178.97079467773438,28163.400390625,85908.171875,-10.282034873962402,349463.4375,1.0
m07,example_057.json,0,labels_manifest,32.351383209228516,62.972591400146484,-5.3125,179.33802795410156,32020.36328125,96491.953125,-10.700247764587402,363959.09375,1.0
