threshold,TP,FN,FP,TN,Recall,Precision,F1,Specificity,Balanced_Accuracy,PASS
0.875,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.88,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.885,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.89,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.895,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.9,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.905,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.91,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.915,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.92,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.925,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.93,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.935,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.94,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.945,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
0.95,100,0,100,0,1.0,0.5,0.6666666666666666,0.0,0.5,False
